DEP,ARR,Dep Date,Best time before departure
AMS,LGW,2018-02-22 10:55:00,British Airways,"38 days, 10:54:09"
AMS,LGW,2018-02-22 14:50:00,British Airways,"38 days, 14:49:09"
AMS,LGW,2018-02-22 18:55:00,British Airways,"38 days, 18:54:09"
AMS,LGW,2018-02-22 21:20:00,British Airways,"38 days, 21:19:09"
AMS,LGW,2018-02-23 10:55:00,British Airways,"38 days, 19:23:57"
AMS,LGW,2018-02-23 14:50:00,British Airways,"38 days, 23:18:57"
AMS,LGW,2018-02-23 18:55:00,British Airways,"39 days, 3:23:57"
AMS,LGW,2018-02-23 21:20:00,British Airways,"39 days, 5:48:57"
AMS,LGW,2018-02-24 10:55:00,British Airways,"39 days, 21:15:12"
AMS,LGW,2018-02-24 15:30:00,British Airways,"40 days, 1:50:12"
AMS,LGW,2018-02-24 20:45:00,British Airways,"40 days, 7:05:12"
AMS,LGW,2018-02-25 10:50:00,British Airways,"40 days, 16:33:48"
AMS,LGW,2018-02-25 16:50:00,British Airways,"40 days, 22:33:48"
AMS,LGW,2018-02-25 21:40:00,British Airways,"41 days, 3:23:48"
AMS,LGW,2018-02-26 10:55:00,British Airways,"41 days, 18:49:09"
AMS,LGW,2018-02-26 14:50:00,British Airways,"41 days, 22:44:09"
AMS,LGW,2018-02-26 18:55:00,British Airways,"42 days, 2:49:09"
AMS,LGW,2018-02-27 10:55:00,British Airways,"42 days, 22:14:15"
AMS,LGW,2018-02-27 14:50:00,British Airways,"43 days, 2:09:15"
AMS,LGW,2018-02-27 18:55:00,British Airways,"43 days, 6:14:15"
AMS,LGW,2018-02-28 10:55:00,British Airways,"43 days, 17:15:33"
AMS,LGW,2018-02-28 14:50:00,British Airways,"43 days, 21:10:33"
AMS,LGW,2018-02-28 18:55:00,British Airways,"44 days, 1:15:33"
AMS,LGW,2018-03-01 10:55:00,British Airways,"44 days, 20:43:02"
AMS,LGW,2018-03-01 14:50:00,British Airways,"45 days, 0:38:02"
AMS,LGW,2018-03-01 18:55:00,British Airways,"45 days, 4:43:02"
AMS,LGW,2018-03-01 21:20:00,British Airways,"45 days, 7:08:02"
AMS,LGW,2018-03-02 10:55:00,British Airways,"45 days, 17:56:13"
AMS,LGW,2018-03-02 14:50:00,British Airways,"45 days, 21:51:13"
AMS,LGW,2018-03-02 18:55:00,British Airways,"46 days, 1:56:13"
AMS,LGW,2018-03-02 21:20:00,British Airways,"46 days, 4:21:13"
AMS,LGW,2018-03-03 10:55:00,British Airways,"46 days, 23:46:14"
AMS,LGW,2018-03-03 15:30:00,British Airways,"47 days, 4:21:14"
AMS,LGW,2018-03-03 20:45:00,British Airways,"47 days, 9:36:14"
AMS,LGW,2018-03-04 10:50:00,British Airways,"47 days, 18:33:21"
AMS,LGW,2018-03-04 16:50:00,British Airways,"48 days, 0:33:21"
AMS,LGW,2018-03-04 21:40:00,British Airways,"48 days, 5:23:21"
AMS,LGW,2018-03-05 10:55:00,British Airways,"48 days, 22:08:26"
AMS,LGW,2018-03-05 14:50:00,British Airways,"49 days, 2:03:26"
AMS,LGW,2018-03-05 18:55:00,British Airways,"49 days, 6:08:26"
AMS,LGW,2018-03-06 10:55:00,British Airways,"49 days, 23:12:02"
AMS,LGW,2018-03-06 14:50:00,British Airways,"50 days, 3:07:02"
AMS,LGW,2018-03-06 18:55:00,British Airways,"50 days, 7:12:02"
AMS,LGW,2018-03-07 10:55:00,British Airways,"50 days, 18:48:34"
AMS,LGW,2018-03-07 14:50:00,British Airways,"50 days, 22:43:34"
AMS,LGW,2018-03-07 18:55:00,British Airways,"51 days, 2:48:34"
AMS,LGW,2018-03-08 10:55:00,British Airways,"51 days, 23:39:07"
AMS,LGW,2018-03-08 14:50:00,British Airways,"52 days, 3:34:07"
AMS,LGW,2018-03-08 18:55:00,British Airways,"52 days, 7:39:07"
AMS,LGW,2018-03-08 21:20:00,British Airways,"52 days, 10:04:07"
AMS,LGW,2018-03-09 10:55:00,British Airways,"53 days, 1:15:43"
AMS,LGW,2018-03-09 14:50:00,British Airways,"53 days, 5:10:43"
AMS,LGW,2018-03-09 18:55:00,British Airways,"53 days, 9:15:43"
AMS,LGW,2018-03-09 21:20:00,British Airways,"53 days, 11:40:43"
AMS,LGW,2018-03-10 10:55:00,British Airways,"53 days, 20:55:18"
AMS,LGW,2018-03-10 15:30:00,British Airways,"54 days, 1:30:18"
AMS,LGW,2018-03-10 20:45:00,British Airways,"54 days, 6:45:18"
AMS,LGW,2018-03-11 10:50:00,British Airways,"54 days, 19:11:59"
AMS,LGW,2018-03-11 16:50:00,British Airways,"55 days, 1:11:59"
AMS,LGW,2018-03-11 21:40:00,British Airways,"55 days, 6:01:59"
AMS,LGW,2018-03-12 10:55:00,British Airways,"55 days, 21:59:40"
AMS,LGW,2018-03-12 14:50:00,British Airways,"56 days, 1:54:40"
AMS,LGW,2018-03-12 18:55:00,British Airways,"56 days, 5:59:40"
AMS,LGW,2018-03-13 10:55:00,British Airways,"56 days, 22:27:13"
AMS,LGW,2018-03-13 14:50:00,British Airways,"57 days, 2:22:13"
AMS,LGW,2018-03-13 18:55:00,British Airways,"57 days, 6:27:13"
AMS,LGW,2018-03-14 10:55:00,British Airways,"57 days, 18:45:35"
AMS,LGW,2018-03-14 14:50:00,British Airways,"57 days, 22:40:35"
AMS,LGW,2018-03-14 18:55:00,British Airways,"58 days, 2:45:35"
AMS,LGW,2018-03-15 10:55:00,British Airways,"58 days, 17:29:38"
AMS,LGW,2018-03-15 14:50:00,British Airways,"58 days, 21:24:38"
AMS,LGW,2018-03-15 18:55:00,British Airways,"59 days, 1:29:38"
AMS,LGW,2018-03-15 21:20:00,British Airways,"59 days, 3:54:38"
AMS,LGW,2018-03-16 10:55:00,British Airways,"59 days, 20:15:52"
AMS,LGW,2018-03-16 14:50:00,British Airways,"60 days, 0:10:52"
AMS,LGW,2018-03-16 18:55:00,British Airways,"60 days, 4:15:52"
AMS,LGW,2018-03-16 21:20:00,British Airways,"60 days, 6:40:52"
AMS,LGW,2018-03-17 10:55:00,British Airways,"60 days, 17:08:25"
AMS,LGW,2018-03-17 15:30:00,British Airways,"60 days, 21:43:25"
AMS,LGW,2018-03-17 20:45:00,British Airways,"61 days, 2:58:25"
AMS,LGW,2018-03-18 10:50:00,British Airways,"61 days, 15:09:50"
AMS,LGW,2018-03-18 16:50:00,British Airways,"61 days, 21:09:50"
AMS,LGW,2018-03-18 21:40:00,British Airways,"62 days, 1:59:50"
AMS,LGW,2018-03-19 10:55:00,British Airways,"63 days, 1:43:42"
AMS,LGW,2018-03-19 14:50:00,British Airways,"63 days, 5:38:42"
AMS,LGW,2018-03-19 18:55:00,British Airways,"63 days, 9:43:42"
AMS,LGW,2018-03-20 10:55:00,British Airways,"64 days, 0:00:55"
AMS,LGW,2018-03-20 14:50:00,British Airways,"64 days, 3:55:55"
AMS,LGW,2018-03-20 18:55:00,British Airways,"64 days, 8:00:55"
AMS,LGW,2018-03-21 10:55:00,British Airways,"64 days, 23:19:42"
AMS,LGW,2018-03-21 14:50:00,British Airways,"65 days, 3:14:42"
AMS,LGW,2018-03-21 18:55:00,British Airways,"65 days, 7:19:42"
AMS,LGW,2018-03-22 10:55:00,British Airways,"65 days, 20:58:16"
AMS,LGW,2018-03-22 14:50:00,British Airways,"66 days, 0:53:16"
AMS,LGW,2018-03-22 18:55:00,British Airways,"66 days, 4:58:16"
AMS,LGW,2018-03-22 21:20:00,British Airways,"66 days, 7:23:16"
AMS,LGW,2018-03-23 10:55:00,British Airways,"67 days, 11:29:02"
AMS,LGW,2018-03-23 14:50:00,British Airways,"67 days, 15:24:02"
AMS,LGW,2018-03-23 18:55:00,British Airways,"67 days, 19:29:02"
AMS,LGW,2018-03-23 21:20:00,British Airways,"67 days, 21:54:02"
AMS,LGW,2018-03-24 10:55:00,British Airways,"67 days, 23:48:34"
AMS,LGW,2018-03-24 15:30:00,British Airways,"66 days, 0:01:26"
AMS,LGW,2018-03-24 20:45:00,British Airways,"68 days, 9:38:34"
AMS,LGW,2018-03-25 10:30:00,British Airways,"68 days, 15:29:22"
AMS,LGW,2018-03-25 21:20:00,British Airways,"69 days, 2:19:22"
AMS,LGW,2018-03-26 10:55:00,British Airways,"69 days, 15:04:10"
AMS,LGW,2018-03-26 14:35:00,British Airways,"69 days, 18:44:10"
AMS,LGW,2018-03-26 19:30:00,British Airways,"69 days, 23:39:10"
AMS,LGW,2018-03-27 10:55:00,British Airways,"70 days, 19:09:51"
AMS,LGW,2018-03-27 13:55:00,British Airways,"70 days, 22:09:51"
AMS,LGW,2018-03-27 19:15:00,British Airways,"71 days, 3:29:51"
